#{"t_start": 1776588636.8938797, "env_id": "None"}
r,l,t
-603.912406,133,644.34091
-295.512006,108,645.172889
-384.65584,138,646.238869
-591.23682,136,647.260843
-11.511595,197,648.718822
45.07153,141,649.75679
-550.805532,157,650.910728
-821.19699,209,652.43873
-194.351087,113,653.249725
-108.153908,254,655.101676
41.542106,126,656.015634
-560.629305,94,656.697957
148.280133,144,657.737966
-960.959924,273,659.664965
-1507.435863,303,661.805971
-106.551165,99,662.499964
342.212588,128,663.406969
-874.464932,287,665.578965
-1452.764879,500,669.341965
-67.016687,179,670.624964
-972.413836,250,673.118965
-327.879859,131,674.070965
-354.080755,147,675.167964
-1030.645689,292,677.398966
-304.92167,97,678.132965
160.924115,130,679.118964
-275.480554,160,680.326959
-576.197304,192,681.738117
-263.8706,120,682.625083
-1639.418525,500,686.2494
-723.366548,150,687.4084
-369.268321,152,688.578397
-387.377506,101,689.361397
-776.130065,162,690.641397
-617.783209,158,691.851399
-167.06278,101,692.593397
-358.836312,126,693.496397
-662.764583,197,694.902397
93.128464,152,695.988398
-229.263486,118,696.829398
-364.774265,94,697.510397
-235.729001,104,698.274397
-378.385357,126,699.212398
-573.679911,184,700.569399
-90.498477,163,701.783397
-179.240963,93,702.4774
-1224.718045,370,705.135397
22.653893,123,706.005397
352.593489,165,707.173397
195.887139,150,708.241398
-113.291495,87,708.888398
-581.597828,163,710.139397
-493.72236,136,711.1864
-168.569241,92,711.883397
-1341.015972,291,714.1334
-1205.121271,225,715.800396
109.215347,267,717.750397
412.175914,212,719.306398
-477.643098,104,720.068401
-59.13037,87,720.717397
-1262.455503,500,724.4694
-268.102759,110,725.299397
-254.126179,276,727.332397
-664.876386,284,729.414912
-1486.738155,500,733.014914
-340.911761,136,734.025912
-147.824706,90,734.711915
-222.249101,118,735.597911
-1029.947983,156,736.767913
-472.091208,138,737.790912
-364.764743,143,738.806912
-395.94001,185,740.121912
-1210.603521,330,742.465911
-396.038753,80,743.039912
-283.77443,165,744.240912
-167.834389,179,745.531911
