#{"t_start": 1776592310.176137, "env_id": "None"}
r,l,t
-928.983178,220,547.702513
-373.058175,122,548.619513
-488.276599,121,549.558513
-751.491129,143,550.631514
-566.256107,76,551.214513
-479.842326,164,552.461513
-119.264579,338,554.911512
-837.051158,143,555.926512
-566.63482,165,557.084512
-428.427696,140,558.075512
-907.490872,357,560.737516
-1058.493404,168,562.057516
-152.925939,103,562.874515
-1186.161109,227,564.658516
-153.446144,80,565.290512
-2934.893135,500,568.888512
-436.563615,70,569.374513
-361.727858,228,571.008513
-357.914429,88,571.667512
-824.771028,107,572.491516
-865.219501,136,573.528512
-381.80658,138,574.542516
-248.843199,193,576.020513
-413.630557,242,577.805513
-801.194316,185,579.162513
-522.126666,95,579.867513
-1593.713958,219,581.488513
-2718.748099,500,585.373515
-693.833999,138,586.432516
-1186.096202,129,587.442515
-1161.161436,130,588.452516
-1095.924947,203,589.949513
-309.459508,95,590.638516
-823.913503,101,591.348512
-983.625121,194,592.717513
-335.792938,90,593.369513
-351.222527,85,593.965513
-396.008051,106,594.770513
-251.828432,95,595.432515
-724.139527,87,596.058513
-1655.457958,212,597.564512
-307.660124,150,598.640515
-692.171399,185,600.467513
-475.667506,81,601.027513
-733.336763,108,601.785512
-1028.53243,500,605.349513
953.232308,364,608.092514
-123.102599,200,609.662512
122.641164,91,610.374516
-150.182967,101,611.153512
-643.723716,94,611.852513
-1186.492836,158,612.982513
-100.853029,205,614.461514
-372.260003,147,615.535513
-1636.083963,274,617.615512
-322.616509,131,618.598513
-1271.338829,304,620.920515
-814.606609,234,622.708513
-445.502389,74,623.237513
-2695.123712,500,626.923512
-459.907485,71,627.453515
-506.9251,77,627.990512
-132.190731,96,628.719515
-382.190946,242,630.625515
-164.478379,107,631.464516
269.912892,244,633.374515
-174.038683,114,634.239516
-763.869556,121,635.101513
-246.92532,106,635.875513
-85.65286,355,638.422539
-544.697534,97,639.113541
-614.986304,115,639.946539
617.879693,152,641.067542
-347.074432,102,641.803539
